"id","id_deputado","data","valor","tipodespesa","coddocumento","partido"
7,62881,"2020-07-01","2640.81","COMBUSTÍVEIS E LUBRIFICANTES.",7074278,"UNIÃO"
8,62881,"2020-07-02","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7068748,"UNIÃO"
9,62881,"2020-07-02","7800","LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES",7073501,"UNIÃO"
12,62881,"2020-07-08","2000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7074307,"UNIÃO"
13,62881,"2020-07-13","200","COMBUSTÍVEIS E LUBRIFICANTES.",7071720,"UNIÃO"
14,62881,"2020-07-14","328.57","PASSAGEM AÉREA - RPA",1737762,"UNIÃO"
15,62881,"2020-07-15","661.6","PASSAGEM AÉREA - RPA",1735846,"UNIÃO"
16,62881,"2020-07-17","3000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7073745,"UNIÃO"
17,62881,"2020-07-17","262.03","PASSAGEM AÉREA - RPA",1737779,"UNIÃO"
18,62881,"2020-07-21","43.3","MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR",7074234,"UNIÃO"
19,62881,"2020-07-21","190.01","COMBUSTÍVEIS E LUBRIFICANTES.",7074231,"UNIÃO"
20,62881,"2020-07-21","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7073897,"UNIÃO"
21,62881,"2020-07-21","1678.57","PASSAGEM AÉREA - RPA",1735956,"UNIÃO"
22,62881,"2020-07-22","104.5","MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR",7074292,"UNIÃO"
23,62881,"2020-07-22","821.57","PASSAGEM AÉREA - RPA",1738647,"UNIÃO"
24,62881,"2020-07-23","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7076872,"UNIÃO"
28,62881,"2020-07-24","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7076871,"UNIÃO"
29,62881,"2020-07-28","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7076869,"UNIÃO"
30,62881,"2020-07-28","1193.6","PASSAGEM AÉREA - RPA",1736112,"UNIÃO"
31,62881,"2020-07-28","642.03","PASSAGEM AÉREA - RPA",1738691,"UNIÃO"
32,62881,"2020-08-03","400","MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR",7083645,"UNIÃO"
33,62881,"2020-08-03","1148.23","COMBUSTÍVEIS E LUBRIFICANTES.",7082162,"UNIÃO"
34,62881,"2020-08-04","4000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7078890,"UNIÃO"
35,62881,"2020-08-04","928.57","PASSAGEM AÉREA - RPA",1738789,"UNIÃO"
37,62881,"2020-08-05","1000","DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.",7082141,"UNIÃO"
